,semel,shem_eretz,uc2010,Jewso10,Arabs10,Olim10,AhuzGidulShnati10,ribuitivishnati10,Ledot10,p0509_0_4,p0509_5_14,p0509_15_24,p0509_25_34,p0509_35_44,p0509_45_54,p0509_55_64,p0509_65_74,p0509_75p,e0,RPiryon0509_15_19,RPiryon0509_20_24,RPiryon0509_25_29,RPiryon0509_30_34,RPiryon0509_35_39,RPiryon0509_40_44,RPiryon0509_tot,Rabort0509_15_49,Rabort_up,Rabort_dn
75,,,3.5,100.0,0.0,4.3,-0.1,40.0,,10.9419513761,29.0538286292,11.7438776093,6.33503168265,25.0843316054,11.4402542341,3.51718625657,1.44743139298,0.436107213535,,,,,,,,2.28048166235,7.5,10.1085710714,4.8592549422
76,,,5.3,100.0,0.0,4.7,1.1,65.0,,12.5469457475,28.1701556589,11.7469573185,8.19826080319,24.7424165513,9.18324822278,3.57836502832,1.3513208672,0.48232980237,,,,,,,,2.34329604364,7.2,9.15496427378,5.22305610561
77,,,7.9,0.2,99.8,0.0,2.7,226.0,,15.3243867988,34.3081842774,15.9438102061,13.4536678601,9.80493994125,5.97654596698,2.96538129892,1.50959393098,0.713489719563,,,,,,,,4.41188686734,3.2,4.45545954261,1.98414388332
78,,,2.2,100.0,0.0,8.0,3.3,30.0,,10.2500115642,37.2669817779,28.8336395342,-3.21842193635,11.9823455792,12.0409454372,1.69190373227,0.526199091922,0.62639521948,,,,,,,,3.51375005264,1.7,3.12196539793,0.206694965111
79,,,2.5,100.0,0.0,3.3,2.7,503.644444444,,15.5406628088,31.3708767627,7.60207369971,7.5530104223,27.90115765,7.55255271983,1.74834773657,0.441350886356,0.289967313727,,,,,,,,2.70233592983,9.4,12.895019496,5.85551105782
80,,,8.6,99.7,0.3,10.1,1.7,193.0,,10.3457963488,19.693719281,17.2884504911,13.3900036975,10.3514347513,11.8643489528,8.06692978235,5.69972521771,3.29959147731,,,,,,,,3.36202120979,11.5,13.5586570312,9.3732342212
81,,,3.8,100.0,0.0,8.4,2.7,150.0,,16.7111890544,22.9034293227,18.4141561672,16.00773374,7.44193064083,8.30680373767,7.31871938479,1.77171846252,1.12431948983,,,,,,,,5.25186628384,4.1,6.11582955516,2.18029173516
82,,,3.5,100.0,0.0,3.4,3.0,100.0,,12.4722071379,16.2019787799,21.8116235519,15.6000092848,7.24703236193,9.97060113452,12.1651091226,3.60465119018,0.926787436265,,,,,,,,4.27222168434,3.7,5.46341033588,1.87445722095
83,,,5.6,100.0,0.0,8.0,2.3,218.0,,17.1215954361,26.4156240813,22.8278187562,12.7219890301,7.15281484088,6.99611412433,4.69875263858,1.28720343698,0.778087655452,,,,,,,,6.56059785455,3.9,5.56575740315,2.28964603648
84,,,3.0,100.0,0.0,15.4,2.8,101.0,,15.8109511252,22.7426715262,23.8322668982,15.0835855577,8.12327524484,5.69689077075,5.38516036354,2.12206925119,1.20312926234,,,,,,,,5.55204624573,4.7,7.08630938048,2.33148335407
85,,,7.2,99.8,0.2,18.7,2.1,218.0,,13.3510550998,22.9851743355,23.280025689,12.4867765181,7.10504473564,9.60576886234,5.89990776746,3.46066650965,1.82558048255,,,,,,,,4.66195179449,8.0,9.83230234734,6.09025931886
86,,,3.2,100.0,0.0,11.0,3.6,92.0,,17.031478712,26.9145092768,18.9416012224,13.5960723393,10.5068656431,6.54649976648,3.92347354279,1.50840564903,1.03109384806,,,,,,,,5.10688648012,6.3,8.80173316813,3.70598491009
87,,,3.2,100.0,0.0,7.4,6.0,105.0,,15.5102829173,26.7633431928,13.6190304893,14.6096542413,16.2846667532,8.52920119518,3.5203010427,0.777019259563,0.386500908779,,,,,,,,3.89253384642,12.2,16.1607014285,8.32068758995
88,,,6.2,99.9,0.1,14.9,1.2,158.0,,10.4491060079,18.8519780523,25.1243838179,12.3877246737,8.594490228,13.1745343443,7.01191681486,2.6562152422,1.74965081881,,,,,,,,3.77527389942,8.5,10.4966704891,6.43021876028
89,,,2.1,100.0,0.0,8.0,8.3,112.0,,18.1974571132,21.2423311667,25.8463276563,16.1583593334,6.22641224787,7.11730805684,3.60428561249,0.701753227974,0.905765585165,,,,,,,,6.15812694338,2.3,4.09188772897,0.456533555172
90,,,7.3,100.0,0.0,19.4,3.8,186.0,,11.3514032215,23.6850927535,22.7949588998,11.1096878471,10.4655784115,11.7030385782,5.59005525394,1.85098255956,1.4492024749,,,,,,,,4.16943410015,3.8,5.10716252116,2.56894836328
91,,,3.8,100.0,0.0,4.1,5.4,67.0,,9.50489702182,21.970708639,15.5069273012,13.3624697545,17.1995111239,12.2970370976,7.79012635506,1.81781445489,0.550508252091,,,,,,,,2.28628296891,9.4,12.1439904482,6.71869912321
92,,,2.9,100.0,0.0,3.8,1.6,120.0,,19.0229706023,27.4720871348,15.9585642551,11.8072155858,7.38939633373,9.47749876893,5.04572050133,2.03793926131,1.78860755673,,,,,,,,6.68729818472,2.6,4.41784912579,0.804011396995
93,,,4.6,100.0,0.0,4.1,5.2,85.0,,9.84503611492,19.622357998,15.2795595648,14.2927151237,14.7635450105,11.892891078,9.19976921095,3.78458168959,1.31954420953,,,,,,,,2.54632827816,8.5,10.9925952079,5.94999716186
94,,,6.9,100.0,0.0,5.9,5.4,150.0,,9.76831608366,17.3707206007,15.9205741665,16.2740288473,13.643240752,13.9731415992,9.9686319162,2.10367390262,0.977672131688,,,,,,,,2.43783591073,12.0,14.3875665845,9.52955404425
95,,,6.1,99.9,0.1,3.2,4.9,115.0,,7.77983432836,19.2091166567,19.110416703,12.4586331807,14.3966491992,14.5310436126,9.2860397828,2.37831009234,0.84995644424,,,,,,,,2.21972052011,8.8,10.8474245769,6.72042596929
96,,,4.3,99.6,0.4,10.1,5.1,121.0,,18.5859230081,22.1256428088,13.393807678,20.0315601983,12.7396567967,7.72230132742,3.38137041392,1.2605336218,0.759204147023,,,,,,,,3.73198297887,11.0,14.2254023081,7.87428100059
97,,,3.0,100.0,0.0,12.9,6.1,148.0,,21.367949146,21.3922000356,20.324273313,18.4481955238,8.26637852103,4.76469276928,2.95085501057,1.54014313762,0.9453125431,,,,,,,,6.4553057425,4.0,6.18822231394,1.72164970143
98,,,3.3,100.0,0.0,4.9,6.7,58.0,,8.64979852298,20.2924529944,15.7414846874,11.1964818505,15.2995338751,12.0696240827,12.9097499223,3.09486444766,0.74600961697,,,,,,,,2.41885229393,11.0,14.7257797341,7.34726456469
99,,,2.6,100.0,0.0,27.1,0.9,40.0,,9.24805031696,26.5917364924,22.2044528754,8.74950804788,11.5755200711,13.6334404902,6.11307300203,1.33685886311,0.547359841027,,,,,,,,4.02894994695,3.1,5.06067612218,1.1915611718
100,,,5.9,100.0,0.0,15.6,3.4,280.0,,25.7531513254,25.2589921436,15.2965078436,18.5980991698,7.78956992712,4.45051799431,1.67358573187,0.710700310163,0.468875554177,,,,,,,,6.89804812473,0.8,1.58646764972,0.104711042814
101,,,2.7,100.0,0.0,3.2,8.4,123.0,,24.7189095175,35.8634821473,7.66197611881,15.6560566392,13.112619229,1.89694905802,0.6109591325,0.264712180421,0.21433597723,,,,,,,,7.00339899966,0.0,2.24039783977,-0.361876684626
102,,,2.5,100.0,0.0,2.3,2.8,32.0,,15.8035354165,30.5594819777,7.18858461162,8.48654503499,28.7409622581,6.69010400924,1.81525035734,0.564124124708,0.151412209859,,,,,,,,2.9616276297,6.0,8.99136271646,2.96082293198
103,,,5.9,0.0,100.0,0.0,1.8,108.0,,11.1113435788,21.865884084,17.344728902,18.3343048156,13.6701690643,8.52086993815,4.36562019707,2.74033366057,2.04674575949,,,,,,,,2.74506691493,4.7,6.18864509541,3.113887496
104,,,6.6,99.4,0.6,31.8,3.0,86.0,,7.23705830122,16.6264918919,16.6605050677,13.7467415219,11.7035209188,14.0186691155,9.76682040088,6.24455867261,3.9956341093,,,,,,,,2.15659324942,11.6,13.9141936254,9.23633303057
105,,,9.7,0.1,99.9,0.0,2.2,173.0,,10.9687343372,20.1035336024,16.2781414613,19.3212432508,14.6238516299,8.34147122338,5.93864334997,2.73479420947,1.68958693561,,,,,,,,2.45284000018,8.3,9.93013523115,6.72671278231
106,,,3.1,0.0,100.0,0.0,1.6,66.0,,12.3090022589,20.0081515308,16.4505308568,21.0439398701,13.0067726457,7.88169250843,5.24172598179,2.1088195312,1.94936481615,,,,,,,,2.92670512172,6.3,8.64365058831,3.98187488469
107,,,2.2,0.1,99.9,0.0,2.3,51.0,,13.7284276499,24.9982202763,22.2066322331,18.1288554881,9.7737915045,5.81433838297,2.94315011825,1.22243801812,1.18414632878,,,,,,,,2.82838104599,9.8,13.4701899031,6.11782084711
0,,,24.1,99.3,0.7,24.9,0.8,447.0,,10.328366691,19.654497648,18.1259903149,13.1678904207,11.139012953,11.0546705896,6.94144245038,5.50862095114,4.07950798129,,,,,,,,3.27065596239,14.2,15.5559307516,12.8607894471
1,,,208.5,99.9,0.1,31.9,2.0,2997.0,,9.75878321884,17.9310122819,14.7417809612,14.0828978387,11.9669647634,11.0441936095,8.8296998071,6.65879080433,4.98587671509,,,,,,,,2.82003713225,14.8,15.2938962174,14.3246228079
2,,,10.4,100.0,0.0,5.5,3.3,156.0,,10.7379088932,22.198914038,13.6341163406,11.2759964526,18.4471790091,12.6113074688,6.52841853838,2.76298804656,1.80317121268,,,,,,,,2.49260672123,11.5,13.336817569,9.56492204258
3,,,18.9,99.7,0.3,8.8,5.7,295.0,,10.2089601677,22.3463384319,16.0067478754,12.7913229559,16.1100833421,11.6914118599,6.38612192989,2.87296990616,1.58604353103,,,,,,,,2.61087490997,11.7,13.1816542061,10.2578419102
4,,,18.2,100.0,0.0,8.5,6.9,309.0,,11.1194068882,18.2147365072,15.679076082,16.2102927332,14.1916375766,11.8399035602,8.13196242797,2.77651362017,1.83647060435,,,,,,,,2.73651699782,10.9,12.3737291849,9.4698652592
5,,,10.8,99.9,0.1,4.1,6.8,123.0,,8.14747046769,17.2300041167,17.3346348389,12.9552193239,12.7128522293,12.2383770866,11.3726669681,4.09690322499,3.91187174384,,,,,,,,2.4209293186,8.2,9.82448732055,6.61551717979
6,,,16.9,100.0,0.0,8.6,2.2,235.0,,9.94767986121,22.7867872512,13.978445331,10.135850222,19.2614891864,12.8707175211,5.99569487746,2.95589692426,2.06743882535,,,,,,,,2.35165054555,7.6,8.74492232574,6.44920864956
7,,,13.1,99.9,0.1,5.0,2.9,184.0,,9.13243605798,16.9467573289,14.8920555353,13.5681160724,12.9878183268,12.6856062223,10.8499715951,5.35957862427,3.57766023701,,,,,,,,2.50426412683,8.9,10.4170522786,7.4213439598
8,,,19.3,100.0,0.0,22.9,1.5,266.0,,10.8599224231,19.5628747852,12.2064044096,15.322441863,16.5392220214,10.8907438984,7.1553040319,4.37734323377,3.08574333367,,,,,,,,2.3805036418,10.3,11.6143507519,9.02711418475
9,,,27.1,99.9,0.1,15.3,3.0,763.0,,14.7721213237,22.7703096344,17.2944757143,14.4615920461,10.4756896229,8.7835185682,4.9164518303,3.8834690375,2.64237222244,,,,,,,,4.23613649148,9.8,10.9249942423,8.6865946562
10,,,10.2,99.5,0.5,12.8,1.2,128.0,,7.68611766359,16.013911827,18.0271086923,15.1659245589,12.7255790583,12.9058793896,8.79621539641,5.12227046623,3.55699294752,,,,,,,,2.24159852802,15.1,17.1445438595,12.970881169
11,,,12.5,0.6,99.4,0.1,1.6,198.0,,11.2896943418,22.5751336574,18.8380525747,16.6055976406,12.438172753,8.78157130369,5.17029598239,2.77195851464,1.5295232318,,,,,,,,2.54517680478,7.0,8.30959846956,5.67001091082
12,,,12.3,0.1,99.9,0.0,2.3,270.0,,13.6781161324,25.918587268,18.0877542926,15.7427559826,12.2754686067,7.50733406065,4.16051849043,1.76960541078,0.859859755756,,,,,,,,3.503346606,6.9,8.23165998396,5.5069713814
13,,,10.6,0.1,99.9,0.0,1.7,168.0,,10.2232793117,22.2162413219,19.7762602113,16.1949112859,12.7279124473,9.15092355274,4.1668955217,3.40228536191,2.14129098565,,,,,,,,2.4018101901,3.7,4.65926149,2.67062878185
14,,,20.1,0.5,99.5,0.0,1.5,373.0,,10.9862001233,23.8772747645,20.7507047178,16.3144399897,12.4978263121,7.75257973414,4.18605710881,2.44773171862,1.18718553103,,,,,,,,2.66171634075,5.7,6.67985375427,4.80315931726
15,,,26.2,0.5,99.5,0.1,1.5,349.0,,9.74599484149,19.0977623495,17.7309104699,17.3098474064,14.0156537369,10.6317274195,6.14568738119,3.37776629204,1.94465010309,,,,,,,,2.36537938613,8.7,9.73033319363,7.73266217537
16,,,12.0,0.3,99.7,0.0,1.9,251.0,,13.226574888,25.6940722752,18.1779025202,15.3754742788,12.237975271,7.58078633727,4.12339073991,2.21950713105,1.36431655864,,,,,,,,3.4626890892,7.0,8.39967803426,5.64314692409
17,,,16.6,0.2,99.8,0.0,1.9,306.0,,11.1371005269,23.9753550873,18.7528399256,15.3987892713,13.5121914869,8.75769099956,4.68441622605,2.65900017105,1.12261630533,,,,,,,,2.76955654282,6.4,7.41476322365,5.30663134795
18,,,14.9,0.3,99.7,0.1,1.9,302.0,,12.1013191326,24.6422170221,19.569438362,15.6888354873,12.1715838447,7.80607044991,4.25511210948,2.42401569392,1.341407898,,,,,,,,2.89718169405,4.9,5.95267006549,3.82789487574
19,,,12.3,0.2,99.8,0.0,2.2,222.0,,12.8032488692,24.8327927778,18.6935240695,15.8528054565,13.4825105323,7.47132169157,3.95629855144,1.96433225939,0.943165792356,,,,,,,,2.97922444652,4.8,6.03494329138,3.63397784909
20,,,19.0,0.2,99.8,0.0,2.3,426.0,,13.4056594749,26.2344505937,19.0151033499,14.7980359372,11.7892400878,7.56876925812,4.13564184535,2.03338559611,1.01971385698,,,,,,,,3.43404605412,6.2,7.24142133605,5.18244103273
21,,,16.3,0.2,99.8,0.0,2.5,447.0,,14.1573330491,28.8922004863,20.5000367071,14.3228887155,10.6281193091,6.05472463624,2.84321821231,1.7670409018,0.834437982547,,,,,,,,3.56030672321,4.5,5.50866066526,3.5320174715
22,,,31.1,0.2,99.8,0.0,2.0,650.0,,13.2838065417,25.4087298158,18.6188515231,15.880233277,12.175463189,7.34349038379,3.89967048353,2.2955011835,1.09425360261,,,,,,,,3.23338467507,5.4,6.17198747487,4.67302596369
23,,,10.8,0.2,99.8,0.0,2.0,232.0,,14.5904471066,26.3858328795,19.8507033619,15.3589688977,11.4109690757,6.24691604423,3.29473076323,2.0150700661,0.846361804972,,,,,,,,3.4916939363,4.0,5.12658747127,2.93881171037
24,,,11.6,1.4,98.6,0.0,2.0,221.0,,11.5734602292,24.1130297544,17.659770669,16.0174549882,13.2873293585,8.69904464401,5.060172494,2.46937062987,1.12036723285,,,,,,,,2.79502097302,5.0,6.1825509255,3.86705083163
25,,,21.4,1.2,98.8,0.1,2.4,491.0,,14.2507905566,25.989701181,18.0393027231,15.7480100606,12.0884136461,7.04421883828,3.7266648008,1.99596461131,1.1169335822,,,,,,,,3.63730771865,6.2,7.19750938157,5.23933493174
26,,,11.3,0.2,99.8,0.0,2.0,228.0,,12.4953895657,26.4764517391,18.475485694,14.7758539153,13.112092394,8.04161786236,3.80232383591,1.8403974536,0.980387540096,,,,,,,,3.04392292672,6.2,7.54516630342,4.906332145
27,,,11.1,0.3,99.7,0.1,2.2,263.0,,12.5544964307,23.685914719,19.193153933,16.114126266,12.5171310506,8.55385762831,4.22605891369,2.51299164758,0.642269411066,,,,,,,,3.16202228737,3.9,4.9506668498,2.85364196955
28,,,12.6,0.2,99.8,0.0,2.5,343.0,,15.4568088575,26.8799720224,20.6591229219,16.1504444944,10.4680901553,5.94860588765,2.83750018914,1.12405427599,0.475401195852,,,,,,,,3.73746367754,7.9,9.32615262017,6.47439314213
29,,,17.4,0.2,99.8,0.0,1.1,296.0,,9.92621455989,24.1915575825,19.4995227377,15.0639010092,14.2411229713,9.32580858718,4.19188012679,2.46550311373,1.09448931172,,,,,,,,2.376075991,5.3,6.28154056426,4.36557405527
30,,,11.0,99.8,0.2,10.0,3.1,137.0,,7.26388901269,14.1336735484,15.3094980706,15.7987744979,12.6181996363,13.2107830076,11.0212897582,5.13267473725,5.51121773115,,,,,,,,2.08119377872,12.4,14.2990136625,10.5235609814
31,,,19.1,0.2,99.8,0.1,2.9,470.0,,14.1124249035,27.5051825794,18.4397945686,14.6225831506,11.880956157,6.94032696289,3.72028462023,1.85656097387,0.921886083824,,,,,,,,3.56881407806,5.7,6.67481692061,4.64645626841
32,,,22.3,0.2,99.8,0.1,2.0,349.0,,12.83823103,24.5934657196,16.4861053164,15.9469599189,13.049307017,7.88713853057,5.02852256282,2.7967262246,1.37354368014,,,,,,,,3.04998324874,5.1,6.05689840477,4.13887260933
33,,,18.9,0.2,99.8,0.0,2.7,494.0,,14.2204382808,26.9754141437,18.637327012,14.7070598288,11.5650264594,7.42989482808,3.76475309214,1.89503084098,0.80505551419,,,,,,,,3.80934781962,4.7,5.5827961712,3.73316888374
34,,,15.5,0.2,99.8,0.0,2.6,319.0,,11.9425356764,24.3146002766,18.8391549034,14.9804382806,12.9972316171,9.08072338694,4.40793488816,2.48130561325,0.95607535752,,,,,,,,3.15867274965,5.5,6.58854345175,4.45186525452
35,,,22.1,99.9,0.1,7.2,2.7,492.0,,12.7206690892,17.9237180452,12.7803326006,18.1106421761,13.2470553706,9.29925108854,7.98137030197,4.4255560977,3.51140523008,,,,,,,,2.99246321322,8.1,9.26125444611,7.00477332993
36,,,24.0,100.0,0.0,25.9,0.6,257.0,,8.05187226523,17.4598989422,16.4642579056,13.929615783,11.3081974698,12.1299230435,9.37035084817,6.09659762151,5.18928612106,,,,,,,,2.3584545039,19.1,20.6539128049,17.5118906875
37,,,23.9,99.6,0.4,9.6,0.9,357.0,,8.65145849599,16.998652651,17.6403081016,14.4061285462,11.1248058892,12.0853357016,11.5051570106,5.29679510737,2.29135849647,,,,,,,,2.76071839659,12.1,13.3369715316,10.7744075583
38,,,16.0,99.2,0.8,35.4,-0.7,124.0,,7.85018028699,15.8225343553,15.8892301934,14.2564148873,12.1946382749,13.960832586,9.2208833248,6.58251106341,4.22277502796,,,,,,,,2.2506316995,13.6,15.1813715719,11.9864139134
39,,,20.9,99.5,0.5,30.7,1.6,326.0,,8.56480665272,16.1467669165,17.6971621325,15.4922194268,11.6803010136,12.6909791337,7.96031855314,5.97686097713,3.79058519385,,,,,,,,2.53089943651,19.9,21.6867636817,18.1944748334
40,,,20.7,99.8,0.2,18.4,0.9,358.0,,10.0031558678,18.957790984,19.6686834322,14.2057219247,10.2223934815,11.871112384,7.6206053299,4.55345942194,2.89707717395,,,,,,,,3.21184490555,17.7,19.3851819431,16.0572454669
41,,,15.5,0.1,99.9,0.0,3.6,583.0,,21.2560354712,32.9610094772,19.7514095582,12.5155995915,6.48993306086,3.69671509076,1.87631598417,0.990082079748,0.46289968637,,,,,,,,6.51991127968,5.3,6.51294815648,4.13985446645
42,,,17.1,0.0,100.0,0.0,3.8,506.0,,20.3921796589,32.1861142494,19.5312588444,12.9222736962,7.21643939749,4.09436660509,2.20996479449,1.12092034145,0.326482412654,,,,,,,,5.84811706136,3.0,3.96157685332,2.05231347167
